evening, der Abend
everything, alles
to answer, antworten
statement, die Aussage
a little, bisschen
German, Deutsch
apology, die Entschuldigung
form, die Form
question, die Frage
to ask, fragen
woman, die Frau
whole, ganz
to do, gehen
grammar, die Grammatik
good, gut
to be called, heißen
man, der Herr
to hear, hören
of course, klar
to come from, kommen
course, der Kurs
course participant, der Kursteilnehmer
course participant, die Kursteilnehmerin
country, das Land
to read, lesen
man, der Mann
tomorrow, morgen
night, die Nacht
name, der Name
new, neu
person, die Person
correct, richtig
sentence, der Satz
to write, schreiben
language, die Sprache
to speak, sprechen
very good, supergut
day, der Tag
bye, Tschüss
good bye, das Wiedersehen
to know, wissen
word, das Wort
address, die Adresse
old, alt
register, anmelden
registration, die Anmeldung
to work, arbeiten
image, das Bild
brother, der Bruder
to spell, buchstabieren
once again, einmal
parents, die Eltern
wrong, falsch
family, die Familie
surname, der Familienname
marital status, der Familienstand
form, das Formular
divorced, geschieden
siblings, die Geschwister
to have, haben
mobile number, die Handynummer
house number, die Hausnummer
home country, das Heimatland
information, die Information
year, das Jahr
now, jetzt
child, das Kind
nursery, der Kindergarten
contact, der Kontakt
to live, leben
single, ledig
email, die E-Mail
to like, möchten
last name, der Nachname
postcode, die Postleitzahl
sister, die Schwester
sister-in-law, die Schwägerin
step-daughter, die Schwiegertochter
step-father, der Schwiegervater
son, der Sohn
street, die Straße
telephone number, die Telefonnummer
daughter, die Tochter
father, der Vater
to compare, vergleichen
married, verheiratet
widowed, verwitwet
many, viel
forename, der Vorname
introduce, vorstellen
welcome, willkommen
to live, wohnen
place of residence, der Wohnort
number, die Zahl
other, andere
to use, benutzen
sheet, das Blatt
pencil, der Bleistift
book, das Buch
Tuesday, der Dienstag
indeed, doch
Thursday, der Donnerstag
finally, endlich
to explain, erklären
to explain, erzählen
family photo, das Familienfoto
public holiday, der Feiertag
window, das Fenster
photo, das Foto
to ask, fragen
Friday, der Freitag
friend, der Freund
exactly, genau
yesterday, gestern
big, groß
greeting, der Gruß
homework, die Hausaufgabe
booklet, das Heft
today, heute
always, immer
card, die Karte
small, klein
tricky, knifflig
ball-point pen, der Kugelschreiber
course book, das Kursbuch
classroom, der Kursraum
lamp, die Lampe
map, die Landkarte
slowly, langsam
teacher, der Lehrer
teacher, die Lehrerin
to learn, lernen
to read, lesen
dear, liebe
list, die Liste
to make, machen
Wednesday, der Mittwoch
Monday, der Montag
of course, natürlich
nice, nett
paper, das Papier
waste paper bin, der Papierkorb
break, die Pause
problem, das Problem
projector, der Projektor
eraser, der Radiergummi
room, der Raum
backpack, der Rucksack
thing, die Sache
to say, sagen
Saturday, der Samstag
to see, sehen
page, die Seite
key, der Schlüssel
fast, schnell
Sunday, der Sonntag
fun, der Spaß
to play, spielen
pencil sharpener, der Spitzer
chair, der Stuhl
table, die Tabelle
blackboard, die Tafel
bag, die Tasche
text, der Text
table, der Tisch
door, die Tür
the day after tomorrow, übermorgen
exercise, die Übung
exercise book, das Übungsbuch
to understand, verstehen
the day before yesterday, vorgestern
wall, die Wand
week, die Woche
weekend, das Wochenende
dictionary, das Wörterbuch
to show, zeigen
note, der Zettel
together, zusammen
offer, das Angebot
answer, die Antwort
apple, der Apfel
apple juice, der Apfelsaft
task, die Aufgabe
baby food, die Babynahrung
banana, die Banane
container, der Becher
example, das Beispiel
beer, das Bier
pear, die Birne
bistro, das Bistro
blueberry, die Blaubeere
bean, die Bohne
to need, brauchen
bread, das Brot
bread roll, das Brötchen
cent, der Cent
cola, die Cola
couscous, der Couscous
because, denn
jar, die Dose
through, durch
egg, das Ei
shopping list, der Einkaufszettel
a few, einige
pea, die Erbse
strawberry, die Erdbeere
to eat, essen
something, etwas
finished, fertig
fish, der Fisch
bottle, die Flasche
meat, das Fleisch
fresh, frisch
breakfast, das Frühstück
to breakfast, frühstücken
together, gemeinsam
vegetables, das Gemüse
very much, gern
drink, das Getränk
glass, das Glas
the same, gleich
gram, das Gramm
raspberry, die Himbeere
honey, der Honig
yoghurt, der Joghurt
coffee, der Kaffee
potato, die Kartoffel
cheese, der Käse
to buy, kaufen
biscuit, der Keks
chickpea, die Kichererbse
kilo, das Kilo
cherry, die Kirsche
kiwi, die Kiwi
control, die Kontrolle
to cost, kosten
cake, der Kuchen
customer, der Kunde
customer, die Kundin
short, kurz
lamb meat, das Lammfleisch
groceries, das Lebensmittel
lemonade, die Limonade
litre, der Liter
mandarine, die Mandarine
mango, die Mango
market, der Markt
jam, die Marmelade
flour, das Mehl
mostly, meistens
amount, die Mengenangabe
melon, die Melone
milk, die Milch
dairy product, das Milchprodukt
to like, mögen
carrot, die Möhre
to have to, müssen
to take, nehmen
noodles, die Nudel
only, nur
fruit, das Obst
fruit salad, der Obstsalat
olive oil, das Olivenöl
orange, die Orange
to order, ordnen
packaging, die Packung
pepper, die Paprika
partner, der Partner
partner, die Partnerin
pound, das Pfund
mushroom, der Pilz
to plan, planen
price, der Preis
pudding, der Pudding
rice, der Reis
beef, das Rindfleisch
juice, der Saft
cream, die Sahne
salad, der Salat
salt, das Salz
oneself, sich
to taste, schmecken
chocolate, die Schokolade
beautiful, schön
pork, das Schweinefleisch
otherwise, sonst
to stand, stehen
to paint, streichen
piece, das Stück
cup, die Tasse
tea, der Tee
expensive, teuer
tip, der Tipp
grape, die Traube
to drink, trinken
to emphasize, unterstreichen
to connect, verbinden
salesperson, der Verkäufer
salesperson, die Verkäuferin
water, das Wasser
wine, der Wein
lemon, die Zitrone
sugar, der Zucker
onion, die Zwiebel
in the evenings, abends
everyday, der Alltag
to call, anrufen
work, die Arbeit
to get up, aufstehen
to start, beginnen
both, beide
bed, das Bett
until, bis
office, das Büro
computer, der Computer
computer game, das Computerspiel
first, erst
to watch television, fernsehen
film, der Film
friend, die Freundin
early, früh
football, der Fußball
to go, gehen
open, geöffnet
to grill, grillen
half past, halb
hunger, der Hunger
idea, die Idee
interview, das Interview
to cook, kochen
to be able to, können
unfortunately, leider
sometimes, manchmal
more, mehr
midday, der Mittag
at midday, mittags
lunchtime, die Mittagspause
morning, der Morgen
in the mornings, morgens
tired, müde
music, die Musik
afternoon, der Nachmittag
in the afternoons, nachmittags
at night, nachts
never, nie
note, der Notizzettel
often, oft
pizza, die Pizza
to clean, putzen
shame, schade
to sleep, schlafen
decision, der Schluss
school, die Schule
late, spät
to walk, spazieren
game, das Spiel
sport, der Sport
hour, die Stunde
schedule, der Stundenplan
supermarket, der Supermarkt
to telephone, telefonieren
to do, tun
clock, die Uhr
time, die Uhrzeit
lesson, der Unterricht
quarter, das Viertel
morning, der Vormittag
in the morning, vormittags
when, wann
to draw, zeichnen
time, die Zeit
old building, der Altbau
detail, die Angabe
advert, die Anzeige
workroom, das Arbeitszimmer
bathroom, das Bad
to bathe, baden
bathtub, die Badewanne
bathroom, das Badezimmer
balcony, der Balkon
farm, der Bauernhof
to receive, bekommen
appointment, der Besichtigungstermin
better, besser
cheap, billig
wide, breit
around, circa
in addition, dazu
hallway, die Diele
direct, direkt
there, dort
outside, draußen
urgent, dringend
dark, dunkel
shower, die Dusche
detached house, das Einfamilienhaus
to shop, einkaufen
electronic device, das Elektrogerät
ground floor, das Erdgeschoss
to replace, ersetzen
euro, der Euro
television, der Fernseher
to find, finden
company, die Firma
corridor, der Flur
free, frei
garden, der Garten
guest, der Gast
money, das Geld
comfortable, gemütlich
looked after, gepflegt
appliance, das Gerät
business, das Geschäft
interview, das Gespräch
size, die Größe
green, grün
to hang, hängen
ugly, hässlich
main thing, die Hauptsache
house, das Haus
pet, das Haustier
heating, die Heizung
to help, helfen
light, hell
stove, der Herd
help, die Hilfe
behind, hinten
high-rise building, das Hochhaus
property, die Immobilie
in total, insgesamt
interesting, interessant
june, der Juni
coffee machine, die Kaffeemaschine
cold, kalt
deposit, die Kaution
celler, der Keller
child's room, das Kinderzimmer
wardrobe, der Kleiderschrank
kitchen, die Küche
fridge, der Kühlschrank
long, lang
to leave, lassen
loud, laut
favourite, liebsten
maximal, maximal
apartment building, das Mehrfamilienhaus
rent, die Miete
at least, mindestens
furniture, die Möbel
furnished, möbliert
modern, modern
month, der Monat
monthly rent, die Monatsmiete
rubbish, der Müll
next to, neben
additional costs, die Nebenkosten
without, ohne
upper floor, das Obergeschoss
place, der Ort
plant, die Pflanze
plan, der Plan
place, der Platz
squaremetre, der Quadratmeter
shelves, das Regal
terraced house, das Reihenhaus
peaceful, ruhig
to look, schauen
bedroom, das Schlafzimmer
narrow, schmal
cupboard, der Schrank
chair, der Sessel
to sing, singen
to sit, sitzen
sofa, das Sofa
straight away, sofort
to be supposed to, sollen
special offer, das Sonderangebot
sun, die Sonne
other, sonstiges
language school, die Sprachschule
